Graph 1
0, 1, 2
3, 16, 23
3, 17, 21
3, 17, 25
3, 20, 23
3, 20, 25
3, 21, 23
4, 10, 19
4, 10, 22
4, 15, 19
4, 15, 24
4, 18, 22
4, 18, 24
4, 18, 25
4, 19, 25
4, 22, 24
5, 7, 15
5, 7, 20
5, 9, 14
5, 9, 18
5, 10, 12
5, 10, 23
5, 12, 15
5, 12, 18
5, 14, 18
5, 14, 23
5, 15, 20
5, 20, 23
6, 8, 16
6, 8, 19
6, 9, 11
6, 9, 24
6, 10, 13
6, 10, 19
6, 11, 16
6, 11, 19
6, 13, 20
6, 13, 24
6, 16, 20
6, 20, 24
7, 8, 25
7, 11, 15
7, 11, 17
7, 11, 22
7, 15, 20
7, 17, 22
7, 17, 25
7, 20, 25
8, 12, 16
8, 12, 18
8, 12, 21
8, 16, 18
8, 18, 25
8, 19, 21
8, 19, 25
9, 11, 14
9, 11, 17
9, 14, 18
9, 17, 21
9, 18, 24
9, 21, 24
10, 12, 13
10, 12, 17
10, 13, 17
10, 17, 22
10, 19, 23
10, 22, 23
11, 14, 19
11, 15, 19
11, 16, 22
11, 17, 22
12, 13, 17
12, 15, 21
12, 16, 18
12, 17, 21
13, 14, 25
13, 17, 25
13, 20, 24
13, 20, 25
14, 18, 25
14, 19, 23
14, 19, 25
15, 19, 21
15, 20, 24
15, 21, 24
16, 18, 22
16, 20, 23
16, 22, 23
18, 22, 24
19, 21, 23
Graph 6
0, 1, 2
0, 1, 3
0, 1, 4
0, 2, 7
0, 2, 8
0, 3, 4
0, 3, 9
0, 4, 10
0, 5, 6
0, 5, 8
0, 5, 9
0, 6, 7
0, 6, 10
0, 7, 9
0, 8, 10
1, 2, 13
1, 2, 14
1, 3, 4
1, 3, 15
1, 4, 16
1, 11, 12
1, 11, 13
1, 11, 15
1, 12, 13
1, 12, 16
1, 14, 15
1, 14, 16
2, 7, 21
2, 7, 22
2, 8, 21
2, 8, 22
2, 13, 23
2, 13, 24
2, 14, 23
2, 14, 24
2, 21, 24
2, 22, 23
3, 4, 25
3, 9, 17
3, 9, 23
3, 15, 17
3, 15, 19
3, 17, 21
3, 19, 21
3, 19, 23
3, 21, 25
3, 23, 25
4, 10, 18
4, 10, 24
4, 16, 18
4, 16, 20
4, 18, 22
4, 20, 22
4, 20, 24
4, 22, 25
4, 24, 25
5, 6, 14
5, 6, 25
5, 8, 12
5, 8, 15
5, 9, 12
5, 9, 20
5, 12, 25
5, 14, 15
5, 14, 24
5, 15, 20
5, 20, 24
5, 24, 25
6, 7, 11
6, 7, 16
6, 10, 11
6, 10, 19
6, 11, 25
6, 14, 16
6, 14, 23
6, 16, 19
6, 19, 23
6, 23, 25
7, 9, 17
7, 9, 20
7, 11, 17
7, 11, 22
7, 16, 20
7, 16, 21
7, 17, 21
7, 20, 22
8, 10, 18
8, 10, 19
8, 12, 18
8, 12, 21
8, 15, 19
8, 15, 22
8, 18, 22
8, 19, 21
9, 12, 13
9, 12, 18
9, 13, 20
9, 13, 23
9, 17, 18
9, 18, 23
10, 11, 13
10, 11, 17
10, 13, 19
10, 13, 24
10, 17, 18
10, 17, 24
11, 12, 13
11, 12, 25
11, 15, 17
11, 15, 22
11, 22, 25
12, 16, 18
12, 16, 21
12, 21, 25
13, 19, 20
13, 19, 23
13, 20, 24
14, 15, 17
14, 16, 18
14, 17, 18
14, 17, 24
14, 18, 23
15, 19, 20
15, 20, 22
16, 19, 20
16, 19, 21
17, 21, 24
18, 22, 23
21, 24, 25
22, 23, 25
Graph 7
0, 1, 2
0, 1, 3
0, 1, 4
0, 2, 7
0, 2, 8
0, 3, 4
0, 3, 9
0, 4, 10
0, 5, 6
0, 5, 8
0, 5, 9
0, 6, 7
0, 6, 10
0, 7, 9
0, 8, 10
1, 2, 13
1, 2, 14
1, 3, 4
1, 3, 15
1, 4, 16
1, 11, 12
1, 11, 13
1, 11, 15
1, 12, 13
1, 12, 16
1, 14, 15
1, 14, 16
2, 7, 21
2, 7, 22
2, 8, 21
2, 8, 22
2, 13, 23
2, 13, 24
2, 14, 23
2, 14, 24
2, 21, 24
2, 22, 23
3, 4, 25
3, 9, 17
3, 9, 19
3, 15, 19
3, 15, 21
3, 17, 21
3, 17, 23
3, 19, 23
3, 21, 25
3, 23, 25
4, 10, 18
4, 10, 20
4, 16, 20
4, 16, 22
4, 18, 22
4, 18, 24
4, 20, 24
4, 22, 25
4, 24, 25
5, 6, 14
5, 6, 25
5, 8, 12
5, 8, 19
5, 9, 19
5, 9, 24
5, 12, 16
5, 12, 25
5, 14, 16
5, 14, 24
5, 16, 19
5, 24, 25
6, 7, 11
6, 7, 20
6, 10, 20
6, 10, 23
6, 11, 15
6, 11, 25
6, 14, 15
6, 14, 23
6, 15, 20
6, 23, 25
7, 9, 11
7, 9, 17
7, 11, 22
7, 16, 17
7, 16, 20
7, 16, 22
7, 17, 21
7, 20, 21
8, 10, 12
8, 10, 18
8, 12, 21
8, 15, 18
8, 15, 19
8, 15, 21
8, 18, 22
8, 19, 22
9, 11, 13
9, 11, 18
9, 13, 19
9, 13, 24
9, 17, 18
9, 18, 24
10, 12, 13
10, 12, 17
10, 13, 20
10, 13, 23
10, 17, 18
10, 17, 23
11, 12, 13
11, 12, 25
11, 15, 18
11, 18, 22
11, 22, 25
12, 16, 17
12, 17, 21
12, 21, 25
13, 19, 20
13, 19, 23
13, 20, 24
14, 15, 18
14, 16, 17
14, 17, 18
14, 17, 23
14, 18, 24
15, 19, 20
15, 20, 21
16, 19, 20
16, 19, 22
19, 22, 23
20, 21, 24
21, 24, 25
22, 23, 25
Graph 8
0, 1, 2
0, 1, 3
0, 1, 4
0, 2, 7
0, 2, 8
0, 3, 4
0, 3, 9
0, 4, 10
0, 5, 6
0, 5, 7
0, 5, 9
0, 6, 9
0, 6, 10
0, 7, 8
0, 8, 10
1, 2, 13
1, 2, 14
1, 3, 4
1, 3, 15
1, 4, 16
1, 11, 12
1, 11, 14
1, 11, 15
1, 12, 15
1, 12, 16
1, 13, 14
1, 13, 16
2, 7, 8
2, 7, 24
2, 8, 22
2, 13, 14
2, 13, 22
2, 14, 23
2, 21, 22
2, 21, 23
2, 21, 24
2, 23, 24
3, 4, 25
3, 9, 19
3, 9, 22
3, 15, 17
3, 15, 24
3, 17, 24
3, 17, 25
3, 19, 22
3, 19, 24
3, 22, 25
4, 10, 20
4, 10, 21
4, 16, 18
4, 16, 20
4, 18, 23
4, 18, 25
4, 20, 23
4, 21, 23
4, 21, 25
5, 6, 9
5, 6, 13
5, 7, 11
5, 7, 25
5, 9, 23
5, 11, 15
5, 11, 25
5, 13, 20
5, 13, 25
5, 15, 20
5, 15, 23
5, 20, 23
6, 9, 12
6, 10, 17
6, 10, 21
6, 12, 16
6, 12, 21
6, 13, 16
6, 13, 17
6, 16, 24
6, 17, 24
6, 21, 24
7, 8, 18
7, 11, 19
7, 11, 25
7, 16, 18
7, 16, 19
7, 16, 24
7, 18, 25
7, 19, 24
8, 10, 17
8, 10, 20
8, 12, 15
8, 12, 18
8, 12, 22
8, 15, 17
8, 15, 20
8, 17, 18
8, 20, 22
9, 12, 18
9, 12, 22
9, 14, 18
9, 14, 19
9, 14, 23
9, 18, 23
9, 19, 22
10, 11, 14
10, 11, 19
10, 11, 21
10, 14, 17
10, 14, 19
10, 19, 20
11, 12, 15
11, 12, 21
11, 14, 19
11, 21, 25
12, 16, 18
12, 21, 22
13, 14, 17
13, 16, 20
13, 17, 25
13, 20, 22
13, 22, 25
14, 17, 18
14, 18, 23
15, 17, 24
15, 20, 23
15, 23, 24
16, 19, 20
16, 19, 24
17, 18, 25
19, 20, 22
21, 22, 25
21, 23, 24
Graph 9
0, 1, 2
0, 1, 3
0, 1, 4
0, 2, 7
0, 2, 8
0, 3, 4
0, 3, 9
0, 4, 10
0, 5, 6
0, 5, 7
0, 5, 10
0, 6, 8
0, 6, 9
0, 7, 9
0, 8, 10
1, 2, 13
1, 2, 14
1, 3, 4
1, 3, 15
1, 4, 16
1, 11, 12
1, 11, 13
1, 11, 15
1, 12, 13
1, 12, 16
1, 14, 15
1, 14, 16
2, 7, 22
2, 7, 24
2, 8, 21
2, 8, 23
2, 13, 23
2, 13, 24
2, 14, 21
2, 14, 22
2, 21, 22
2, 23, 24
